forward,theta,analytic_delta,recovered_delta,delta_absolute_error,analytic_gamma,recovered_gamma,gamma_absolute_error
0.0581111111111,0.860283561071,0.961354987949,0.961354994669,6.72007804958e-09,1.6726549928,1.67265554223,5.49436490527e-07
0.0587222222222,0.865451549256,0.962325697438,0.962325704442,7.00382840613e-09,1.50659952785,1.50659969827,1.70424737655e-07
0.0593333333333,0.870557556017,0.96319921738,0.963199224668,7.28839100184e-09,1.35443718608,1.35443707131,1.14766348869e-07
0.0599444444444,0.87560242825,0.96398377725,0.963983784824,7.57351759084e-09,1.21531678676,1.21531673756,4.91949998516e-08
0.0605555555556,0.88058700514,0.964687090948,0.964687098806,7.85780851498e-09,1.08840295108,1.0884032028,2.51716542055e-07
0.0611666666667,0.885512117922,0.965316367833,0.965316375974,8.14076950295e-09,0.97288052684,0.972880787241,2.604012036e-07
0.0617777777778,0.890378589657,0.965878326276,0.965878334699,8.42251612898e-09,0.867958372303,0.867958518278,1.45974821453e-07
0.0623888888889,0.895187235034,0.966379209333,0.966379218036,8.7026189588e-09,0.772872525124,0.77287260538,8.02563553393e-08
0.063,0.899938860194,0.966824802169,0.966824811148,8.97964691493e-09,0.686888787198,0.686888830471,4.32732925049e-08
0.0636111111111,0.904634262577,0.967220450899,0.967220460153,9.25484033854e-09,0.609304760415,0.609305341054,5.80638508496e-07
0.0642222222222,0.909274230778,0.967571082513,0.967571092039,9.52687617684e-09,0.539451371405,0.539451885577,5.14171677235e-07
0.0648333333333,0.913859544433,0.967881225584,0.967881235382,9.7972989721e-09,0.476693925604,0.476693863296,6.23079268181e-08
0.0654444444444,0.918390974112,0.968155031493,0.968155041556,1.00631796229e-08,0.420432732387,0.420432763574,3.11864186697e-08
0.0660555555556,0.922869281236,0.968396295905,0.968396306231,1.03265854756e-08,0.370103343669,0.370103535959,1.92289723144e-07
0.0666666666667,0.927295218002,0.968608480296,0.968608490883,1.05869180089e-08,0.325176448305,0.325176542301,9.39957844337e-08
0.0672777777778,0.931669527323,0.968794733314,0.968794744158,1.08441112756e-08,0.285157464044,0.285157370925,9.31192999931e-08
0.0678888888889,0.935992942788,0.968957911809,0.968957922907,1.10980266088e-08,0.249585867573,0.249585932415,6.4841878783e-08
0.0685,0.940266188628,0.969100601385,0.969100612734,1.13488930475e-08,0.218034301624,0.218034650674,3.49050477799e-07
0.0691111111111,0.944489979689,0.969225136345,0.969225147942,1.1596826277e-08,0.190107496126,0.190107645294,1.4916720803e-07
0.0697222222222,0.94866502143,0.969333618936,0.969333630777,1.18415528494e-08,0.16544103816,0.165441213446,1.75286311771e-07
0.0703333333333,0.952792009918,0.969427937792,0.969427949876,1.20839306339e-08,0.14370002296,0.143700067196,4.42352011409e-08
0.0709444444444,0.956871631837,0.969509785537,0.969509797861,1.23244235928e-08,0.124577615648,0.124577601967,1.36806453666e-08
0.0715555555556,0.960904564506,0.969580675481,0.969580688042,1.25611474555e-08,0.10779355062,0.107793743217,1.92597213636e-07
0.0721666666667,0.964891475908,0.969641957387,0.969641970184,1.27967011432e-08,0.0930925928163,0.0930926687006,7.58842228638e-08
0.0727777777778,0.968833024719,0.969694832294,0.969694845324,1.30302275636e-08,0.0802429823544,0.0802429278255,5.45289584319e-08
0.0733888888889,0.972729860349,0.969740366386,0.969740379647,1.32609487835e-08,0.0690348813368,0.0690350340993,1.5276246601e-07
0.074,0.976582622994,0.969779503922,0.969779517413,1.34914157623e-08,0.0592788390909,0.0592788622022,2.31112598989e-08
0.0746111111111,0.980391943683,0.969813079227,0.969813092948,1.37201835448e-08,0.0508042896207,0.0508045476105,2.57989798538e-07
0.0752222222222,0.984158444338,0.969841827794,0.969841841742,1.39478407712e-08,0.0434580927493,0.0434582989566,2.06207330315e-07
0.0758333333333,0.987882737839,0.969866396492,0.969866410666,1.4174285301e-08,0.0371031282772,0.0371032824247,1.54147541828e-07
0.0764444444444,0.991565428092,0.969887352946,0.969887367346,1.44001364166e-08,0.0316169504987,0.0316169392571,1.12416153261e-08
0.0770555555556,0.995207110099,0.96990519411,0.969905208734,1.46244180099e-08,0.0268905086206,0.0268905630713,5.44506641789e-08
0.0776666666667,0.998808370037,0.969920354078,0.969920368927,1.48492885765e-08,0.0228269370052,0.0228270807823,1.43777065531e-07
0.0782777777778,1.00236978534,0.96993321118,0.969933226254,1.50744078331e-08,0.0193404177223,0.0193404639348,4.62125252058e-08
0.0788888888889,1.00589192476,0.969944094405,0.969944109702,1.52971655343e-08,0.0163551166342,0.0163551186386,2.00441893639e-09
